,Title,PublishedDate,Views,Likes,Comments,Month
53,The Witcher (Wiedźmin) - Tavern Music Acoustic Guitar Cover,2014-08-16,203373,3351,158,Aug
54,Celtic Guitar Music - Callirus (by Adrian von Ziegler) Acoustic Guitar Cover,2014-07-21,156915,2142,108,Jul
55,Celtic Irish Music - The Green Island (Classical Guitar),2014-06-07,607221,10858,400,Jun
56,Game of Thrones - Main Theme Acoustic Guitar Cover (with TABs) by Lukasz Kapuscinski,2014-04-20,472191,9941,449,Apr
57,The Last of the Mohicans - Main Theme (Promentory) 12-Strings Acoustic Guitar Cover,2014-03-02,353032,4373,206,Mar
58,The Witcher 2 (Wiedźmin 2) - Tavern Music Acoustic Guitar Cover (with TABs),2014-02-06,132095,2504,110,Feb
59,The Hobbit - Misty Mountains Cold Acoustic Guitar Cover (with TABs),2013-12-05,515280,7809,224,Dec
60,Lukasz Kapuscinski - Harry Potter - Acoustic Guitar Medley (with TABs),2013-11-01,211254,3555,121,Nov
61,The Lord of the Rings - Acoustic Guitar Medley (with TABs),2013-09-11,386223,6791,239,Sep
62,Pink Floyd - Wish You Were Here (Guitar cover) + Lag T66 D12 Sound Check,2013-08-30,43848,501,32,Aug
63,Heroes of Might & Magic III + IV (HoMM 3 and 4) - Acoustic Guitar Cover (with TABs),2013-06-28,119321,2313,112,Jun
64,Icewind Dale - Acoustic Guitar Medley,2013-06-14,33644,479,23,Jun
65,Baldur's Gate II + Dark Alliance -  Acoustic Guitar Cover (with TABs),2013-05-01,45830,684,40,May
66,Neverwinter Nights - Acoustic Guitar Cover (with TABs),2013-04-01,60903,1273,95,Apr
67,Bartek Marusik - Chloropolis,2013-02-24,7416,82,1,Feb
